"","first_quartile","mean","third_quartile","divergences","Rhat","seed","runtime","variable"
"37",0.10314394403399,0.114367975516916,0.123264084649432,"0%","[1] ""Rhat looks reasonable for all parameters""","814471",4.14401735067368,"sigma_interceptsb"
"38",0.598268735308611,0.626068018366848,0.653651199364858,"0%","[1] ""Rhat looks reasonable for all parameters""","814471",4.14401735067368,"b_z"
"39",0.00958692657575092,0.00982166818691597,0.0100424274890733,"0%","[1] ""Rhat looks reasonable for all parameters""","814471",4.14401735067368,"sigma_y"
"40",0.223230202045529,0.349883488502342,0.464480481086303,"0%","[1] ""Rhat looks reasonable for all parameters""","814471",4.14401735067368,"lam_interceptsa"
"41",0.216703990329137,0.239143151906564,0.257125341897259,"0%","[1] ""Rhat looks reasonable for all parameters""","814471",4.14401735067368,"sigma_interceptsa"
"42",3.97274581711327,4.019696297741,4.06583682444462,"0%","[1] ""Rhat looks reasonable for all parameters""","814471",4.14401735067368,"a_z"
"43",0.415695617635559,0.533304393977326,0.657292980792559,"0%","[1] ""Rhat looks reasonable for all parameters""","897848",4.20962231556574,"lam_interceptsb"
"44",0.102776921363148,0.11452970036129,0.123524369844953,"0%","[1] ""Rhat looks reasonable for all parameters""","897848",4.20962231556574,"sigma_interceptsb"
"45",0.598023319696534,0.625361146410963,0.651872899627083,"0%","[1] ""Rhat looks reasonable for all parameters""","897848",4.20962231556574,"b_z"
"46",0.0095866664602133,0.00982845209973518,0.0100588670421982,"0%","[1] ""Rhat looks reasonable for all parameters""","897848",4.20962231556574,"sigma_y"
"47",0.225882804071195,0.352609734933695,0.465746329058502,"0%","[1] ""Rhat looks reasonable for all parameters""","897848",4.20962231556574,"lam_interceptsa"
"48",0.216515487372992,0.239712466951107,0.257822250824479,"0%","[1] ""Rhat looks reasonable for all parameters""","897848",4.20962231556574,"sigma_interceptsa"
"49",3.96871822009837,4.01766767722091,4.065386280528,"0%","[1] ""Rhat looks reasonable for all parameters""","897848",4.20962231556574,"a_z"
"50",0.421143730936308,0.53728778635866,0.659187394313012,"0.0125%","[1] ""Rhat looks reasonable for all parameters""","115016",4.27587374448776,"lam_interceptsb"
