"","datasetID","study","genus","species","varetc","woody","forcetemp","forcetemp_night","photoperiod_day","response","response.time","Total_Chilling_Hours","chilltemp","chilldays","fieldsample.date","provenance.lat","provenance.long","force","photo","chill","resp","force_type","photo_type","chill_type","chill.hrs","chill.ports","latbi","complex","force.z","photo.z","chill.z","spps","phylo","crops"
"8412","zohner16","exp1","Acer","barbinerve","","yes","18","14","8","timeonly",21.875,989,"","","21-Dec-2013",48.16447,11.50293,15.3333333333333,8,4.44791666666667,21.875,"exp","exp","fldest",989,61.1148070881309,"Acer_barbinerve",3,0.0237125466098977,-1.00803446073276,-0.164088760541305,"Acer_barbinerve","Acer_barbinerve","nocrop"
"8413","zohner16","exp1","Acer","barbinerve","","yes","18","14","8","timeonly",17.75,1831,"","","10-Feb-2014",48.16447,11.50293,15.3333333333333,8,6.875,17.75,"exp","exp","fldest",1831,95.3468886724268,"Acer_barbinerve",3,0.0237125466098977,-1.00803446073276,0.604387387090495,"Acer_barbinerve","Acer_barbinerve","nocrop"
"8778","zohner16","exp1","Acer","barbinerve","","yes","18","14","16","timeonly",19.1875,989,"","","21-Dec-2013",48.16447,11.50293,16.6666666666667,16,4.44791666666667,19.1875,"exp","exp","fldest",989,61.1148070881309,"Acer_barbinerve",3,0.259079700334389,0.522249097258486,-0.164088760541305,"Acer_barbinerve","Acer_barbinerve","nocrop"
"8779","zohner16","exp1","Acer","barbinerve","","yes","18","14","16","timeonly",17,1831,"","","10-Feb-2014",48.16447,11.50293,16.6666666666667,16,6.875,17,"exp","exp","fldest",1831,95.3468886724268,"Acer_barbinerve",3,0.259079700334389,0.522249097258486,0.604387387090495,"Acer_barbinerve","Acer_barbinerve","nocrop"
"8354","zohner16","exp1","Acer","campestre","","yes","18","14","8","timeonly",47.0625,989,"","","21-Dec-2013",48.16447,11.50293,15.3333333333333,8,4.44791666666667,47.0625,"exp","exp","fldest",989,61.1148070881309,"Acer_campestre",4,0.0237125466098977,-1.00803446073276,-0.164088760541305,"Acer_campestre","Acer_campestre","nocrop"
"8355","zohner16","exp1","Acer","campestre","","yes","18","14","8","timeonly",27.125,1831,"","","10-Feb-2014",48.16447,11.50293,15.3333333333333,8,6.875,27.125,"exp","exp","fldest",1831,95.3468886724268,"Acer_campestre",4,0.0237125466098977,-1.00803446073276,0.604387387090495,"Acer_campestre","Acer_campestre","nocrop"
"8356","zohner16","exp1","Acer","campestre","","yes","18","14","8","timeonly",23.9375,2380,"","","21-Mar-2014",48.16447,11.50293,15.3333333333333,8,9.26458333333333,23.9375,"exp","exp","fldest",2380,123.490985386386,"Acer_campestre",4,0.0237125466098977,-1.00803446073276,1.36099008351425,"Acer_campestre","Acer_campestre","nocrop"
"8451","zohner16","exp1","Acer","campestre","","yes","18","14","16","timeonly",47.3125,989,"","","21-Dec-2013",48.16447,11.50293,16.6666666666667,16,4.44791666666667,47.3125,"exp","exp","fldest",989,61.1148070881309,"Acer_campestre",4,0.259079700334389,0.522249097258486,-0.164088760541305,"Acer_campestre","Acer_campestre","nocrop"
"8575","zohner16","exp1","Acer","campestre","","yes","18","14","16","timeonly",29.75,1831,"","","10-Feb-2014",48.16447,11.50293,16.6666666666667,16,6.875,29.75,"exp","exp","fldest",1831,95.3468886724268,"Acer_campestre",4,0.259079700334389,0.522249097258486,0.604387387090495,"Acer_campestre","Acer_campestre","nocrop"
"8576","zohner16","exp1","Acer","campestre","","yes","18","14","16","timeonly",23.5625,2380,"","","21-Mar-2014",48.16447,11.50293,16.6666666666667,16,9.26458333333333,23.5625,"exp","exp","fldest",2380,123.490985386386,"Acer_campestre",4,0.259079700334389,0.522249097258486,1.36099008351425,"Acer_campestre","Acer_campestre","nocrop"
"8357","zohner16","exp1","Acer","ginnala","","yes","18","14","8","timeonly",25.25,989,"","","21-Dec-2013",48.16447,11.50293,15.3333333333333,8,4.44791666666667,25.25,"exp","exp","fldest",989,61.1148070881309,"Acer_ginnala",5,0.0237125466098977,-1.00803446073276,-0.164088760541305,"Acer_ginnala","Acer_ginnala","nocrop"
"8358","zohner16","exp1","Acer","ginnala","","yes","18","14","8","timeonly",26.8125,1831,"","","10-Feb-2014",48.16447,11.50293,15.3333333333333,8,6.875,26.8125,"exp","exp","fldest",1831,95.3468886724268,"Acer_ginnala",5,0.0237125466098977,-1.00803446073276,0.604387387090495,"Acer_ginnala","Acer_ginnala","nocrop"
