"","datasetID","study","genus","species","varetc","woody","forcetemp","forcetemp_night","photoperiod_day","response","response.time","Total_Chilling_Hours","chilltemp","chilldays","fieldsample.date","provenance.lat","provenance.long","force","photo","chill","resp","force_type","photo_type","chill_type","chill.hrs","chill.ports","latbi","complex","force.z","photo.z","chill.z","spps","phylo","crops"
"8577","zohner16","exp1","Acer","ginnala","","yes","18","14","16","timeonly",23,989,"","","21-Dec-2013",48.16447,11.50293,16.6666666666667,16,4.44791666666667,23,"exp","exp","fldest",989,61.1148070881309,"Acer_ginnala",5,0.259079700334389,0.522249097258486,-0.164088760541305,"Acer_ginnala","Acer_ginnala","nocrop"
"8578","zohner16","exp1","Acer","ginnala","","yes","18","14","16","timeonly",24.5625,1831,"","","10-Feb-2014",48.16447,11.50293,16.6666666666667,16,6.875,24.5625,"exp","exp","fldest",1831,95.3468886724268,"Acer_ginnala",5,0.259079700334389,0.522249097258486,0.604387387090495,"Acer_ginnala","Acer_ginnala","nocrop"
"4783","laube14a","exp1","Acer","negundo","","yes","7","","8","timeonly",19,2239,"","110","14-Mar-2012",48.403008,11.711811,7,8,7.50625,19,"ramped","exp","fldest",2239,103.547699511753,"Acer_negundo",6,-1.44733216416818,-1.00803446073276,0.804257149092585,"Acer_negundo","Acer_negundo","nocrop"
"4784","laube14a","exp1","Acer","negundo","","yes","7","","12","timeonly",19,2239,"","110","14-Mar-2012",48.403008,11.711811,7,12,7.50625,19,"ramped","exp","fldest",2239,103.547699511753,"Acer_negundo",6,-1.44733216416818,-0.242892681737139,0.804257149092585,"Acer_negundo","Acer_negundo","nocrop"
"4785","laube14a","exp1","Acer","negundo","","yes","7","","16","timeonly",18,2239,"","110","14-Mar-2012",48.403008,11.711811,7,16,7.50625,18,"ramped","exp","fldest",2239,103.547699511753,"Acer_negundo",6,-1.44733216416818,0.522249097258486,0.804257149092585,"Acer_negundo","Acer_negundo","nocrop"
"4889","laube14a","exp1","Acer","negundo","","yes","7","","8","timeonly",39,1003,"","33","14-Dec-2011",48.403008,11.711811,7,8,3.61875,39,"ramped","exp","fldest",1003,51.6913728053825,"Acer_negundo",6,-1.44733216416818,-1.00803446073276,-0.426623959474744,"Acer_negundo","Acer_negundo","nocrop"
"4890","laube14a","exp1","Acer","negundo","","yes","7","","12","timeonly",40,1003,"","33","14-Dec-2011",48.403008,11.711811,7,12,3.61875,40,"ramped","exp","fldest",1003,51.6913728053825,"Acer_negundo",6,-1.44733216416818,-0.242892681737139,-0.426623959474744,"Acer_negundo","Acer_negundo","nocrop"
"4998","laube14a","exp1","Acer","negundo","","yes","7","","8","timeonly",23,1780,"","73","30-Jan-2012",48.403008,11.711811,7,8,5.82916666666667,23,"ramped","exp","fldest",1780,79.879632404017,"Acer_negundo",6,-1.44733216416818,-1.00803446073276,0.273250025621685,"Acer_negundo","Acer_negundo","nocrop"
"4999","laube14a","exp1","Acer","negundo","","yes","7","","12","timeonly",21,1780,"","73","30-Jan-2012",48.403008,11.711811,7,12,5.82916666666667,21,"ramped","exp","fldest",1780,79.879632404017,"Acer_negundo",6,-1.44733216416818,-0.242892681737139,0.273250025621685,"Acer_negundo","Acer_negundo","nocrop"
"5000","laube14a","exp1","Acer","negundo","","yes","7","","16","timeonly",19,1780,"","73","30-Jan-2012",48.403008,11.711811,7,16,5.82916666666667,19,"ramped","exp","fldest",1780,79.879632404017,"Acer_negundo",6,-1.44733216416818,0.522249097258486,0.273250025621685,"Acer_negundo","Acer_negundo","nocrop"
"1785","flynn18","exp1","Acer","pensylvanicum",NA,"yes","15","5","12","timeonly",22,949,"0","0","21-Jan-2015",42.531705,-72.18992,10,12,2.36041666666667,22,"exp","exp","bothest",949,60.337337283142,"Acer_pensylvanicum",7,-0.917756068288069,-0.242892681737139,-0.825044211122475,"Acer_pensylvanicum","Acer_pensylvanicum","nocrop"
"1804","flynn18","exp1","Acer","pensylvanicum",NA,"yes","15","5","12","timeonly",45.33333333,949,"0","0","21-Jan-2015",42.531705,-72.18992,10,12,2.36041666666667,45.33333333,"exp","exp","bothest",949,60.337337283142,"Acer_pensylvanicum",7,-0.917756068288069,-0.242892681737139,-0.825044211122475,"Acer_pensylvanicum","Acer_pensylvanicum","nocrop"
"1884","flynn18","exp1","Acer","pensylvanicum",NA,"yes","20","10","8","timeonly",20.83333333,949,"0","0","21-Jan-2015",42.531705,-72.18992,13.3333333333333,8,2.36041666666667,20.83333333,"exp","exp","bothest",949,60.337337283142,"Acer_pensylvanicum",7,-0.32933818397684,-1.00803446073276,-0.825044211122475,"Acer_pensylvanicum","Acer_pensylvanicum","nocrop"
"1885","flynn18","exp1","Acer","pensylvanicum",NA,"yes","20","10","8","timeonly",44.4,949,"0","0","21-Jan-2015",42.531705,-72.18992,13.3333333333333,8,2.36041666666667,44.4,"exp","exp","bothest",949,60.337337283142,"Acer_pensylvanicum",7,-0.32933818397684,-1.00803446073276,-0.825044211122475,"Acer_pensylvanicum","Acer_pensylvanicum","nocrop"
"2011","flynn18","exp1","Acer","pensylvanicum",NA,"yes","20","10","12","timeonly",16.8,949,"0","0","21-Jan-2015",42.531705,-72.18992,15,12,2.36041666666667,16.8,"exp","exp","bothest",949,60.337337283142,"Acer_pensylvanicum",7,-0.0351292418212253,-0.242892681737139,-0.825044211122475,"Acer_pensylvanicum","Acer_pensylvanicum","nocrop"
"2013","flynn18","exp1","Acer","pensylvanicum",NA,"yes","15","5","8","timeonly",27,949,"0","0","21-Jan-2015",42.531705,-72.18992,8.33333333333333,8,2.36041666666667,27,"exp","exp","bothest",949,60.337337283142,"Acer_pensylvanicum",7,-1.21196501044368,-1.00803446073276,-0.825044211122475,"Acer_pensylvanicum","Acer_pensylvanicum","nocrop"
"2014","flynn18","exp1","Acer","pensylvanicum",NA,"yes","15","5","8","timeonly",68,949,"0","0","21-Jan-2015",42.531705,-72.18992,8.33333333333333,8,2.36041666666667,68,"exp","exp","bothest",949,60.337337283142,"Acer_pensylvanicum",7,-1.21196501044368,-1.00803446073276,-0.825044211122475,"Acer_pensylvanicum","Acer_pensylvanicum","nocrop"
"2073","flynn18","exp1","Acer","pensylvanicum",NA,"yes","20","10","8","timeonly",22.33333333,965,"0","0","26-Jan-2015",45.932675,-74.02507,13.3333333333333,8,2.38541666666667,22.33333333,"exp","exp","bothest",965,62.1705815212995,"Acer_pensylvanicum",7,-0.32933818397684,-1.00803446073276,-0.817128576983778,"Acer_pensylvanicum","Acer_pensylvanicum","nocrop"
"2074","flynn18","exp1","Acer","pensylvanicum",NA,"yes","20","10","8","timeonly",43.16666667,965,"0","0","26-Jan-2015",45.932675,-74.02507,13.3333333333333,8,2.38541666666667,43.16666667,"exp","exp","bothest",965,62.1705815212995,"Acer_pensylvanicum",7,-0.32933818397684,-1.00803446073276,-0.817128576983778,"Acer_pensylvanicum","Acer_pensylvanicum","nocrop"
"2133","flynn18","exp1","Acer","pensylvanicum",NA,"yes","20","10","12","timeonly",32,949,"0","0","21-Jan-2015",42.531705,-72.18992,15,12,2.36041666666667,32,"exp","exp","bothest",949,60.337337283142,"Acer_pensylvanicum",7,-0.0351292418212253,-0.242892681737139,-0.825044211122475,"Acer_pensylvanicum","Acer_pensylvanicum","nocrop"
"2146","flynn18","exp1","Acer","pensylvanicum",NA,"yes","20","10","12","timeonly",19,965,"0","0","26-Jan-2015",45.932675,-74.02507,15,12,2.38541666666667,19,"exp","exp","bothest",965,62.1705815212995,"Acer_pensylvanicum",7,-0.0351292418212253,-0.242892681737139,-0.817128576983778,"Acer_pensylvanicum","Acer_pensylvanicum","nocrop"
"2147","flynn18","exp1","Acer","pensylvanicum",NA,"yes","20","10","12","timeonly",39,965,"0","0","26-Jan-2015",45.932675,-74.02507,15,12,2.38541666666667,39,"exp","exp","bothest",965,62.1705815212995,"Acer_pensylvanicum",7,-0.0351292418212253,-0.242892681737139,-0.817128576983778,"Acer_pensylvanicum","Acer_pensylvanicum","nocrop"
"2166","flynn18","exp1","Acer","pensylvanicum",NA,"yes","15","5","8","timeonly",31,965,"0","0","26-Jan-2015",45.932675,-74.02507,8.33333333333333,8,2.38541666666667,31,"exp","exp","bothest",965,62.1705815212995,"Acer_pensylvanicum",7,-1.21196501044368,-1.00803446073276,-0.817128576983778,"Acer_pensylvanicum","Acer_pensylvanicum","nocrop"
"2167","flynn18","exp1","Acer","pensylvanicum",NA,"yes","15","5","8","timeonly",75,965,"0","0","26-Jan-2015",45.932675,-74.02507,8.33333333333333,8,2.38541666666667,75,"exp","exp","bothest",965,62.1705815212995,"Acer_pensylvanicum",7,-1.21196501044368,-1.00803446073276,-0.817128576983778,"Acer_pensylvanicum","Acer_pensylvanicum","nocrop"
"2168","flynn18","exp1","Acer","pensylvanicum",NA,"yes","15","5","12","timeonly",26,965,"0","0","26-Jan-2015",45.932675,-74.02507,10,12,2.38541666666667,26,"exp","exp","bothest",965,62.1705815212995,"Acer_pensylvanicum",7,-0.917756068288069,-0.242892681737139,-0.817128576983778,"Acer_pensylvanicum","Acer_pensylvanicum","nocrop"
"2183","flynn18","exp1","Acer","pensylvanicum",NA,"yes","15","5","12","timeonly",56.83333333,965,"0","0","26-Jan-2015",45.932675,-74.02507,10,12,2.38541666666667,56.83333333,"exp","exp","bothest",965,62.1705815212995,"Acer_pensylvanicum",7,-0.917756068288069,-0.242892681737139,-0.817128576983778,"Acer_pensylvanicum","Acer_pensylvanicum","nocrop"
"2226","flynn18","exp1","Acer","pensylvanicum",NA,"yes","15","5","8","timeonly",48,1669,"1.5","30","21-Jan-2015",42.531705,-72.18992,8.33333333333333,8,3.86041666666667,48,"exp","exp","bothest",1669,76.2718839215756,"Acer_pensylvanicum",7,-1.21196501044368,-1.00803446073276,-0.350106162800676,"Acer_pensylvanicum","Acer_pensylvanicum","nocrop"
"2229","flynn18","exp1","Acer","pensylvanicum",NA,"yes","15","5","8","timeonly",11.33333333,1669,"1.5","30","21-Jan-2015",42.531705,-72.18992,8.33333333333333,8,3.86041666666667,11.33333333,"exp","exp","bothest",1669,76.2718839215756,"Acer_pensylvanicum",7,-1.21196501044368,-1.00803446073276,-0.350106162800676,"Acer_pensylvanicum","Acer_pensylvanicum","nocrop"
"2256","flynn18","exp1","Acer","pensylvanicum",NA,"yes","20","10","12","timeonly",11.33333333,1685,"1.5","30","26-Jan-2015",45.932675,-74.02507,15,12,3.88541666666667,11.33333333,"exp","exp","bothest",1685,78.1051281597331,"Acer_pensylvanicum",7,-0.0351292418212253,-0.242892681737139,-0.342190528661979,"Acer_pensylvanicum","Acer_pensylvanicum","nocrop"
"2279","flynn18","exp1","Acer","pensylvanicum",NA,"yes","15","5","12","timeonly",43.75,1685,"1.5","30","26-Jan-2015",45.932675,-74.02507,10,12,3.88541666666667,43.75,"exp","exp","bothest",1685,78.1051281597331,"Acer_pensylvanicum",7,-0.917756068288069,-0.242892681737139,-0.342190528661979,"Acer_pensylvanicum","Acer_pensylvanicum","nocrop"
"2306","flynn18","exp1","Acer","pensylvanicum",NA,"yes","15","5","12","timeonly",34.5,1669,"1.5","30","21-Jan-2015",42.531705,-72.18992,10,12,3.86041666666667,34.5,"exp","exp","bothest",1669,76.2718839215756,"Acer_pensylvanicum",7,-0.917756068288069,-0.242892681737139,-0.350106162800676,"Acer_pensylvanicum","Acer_pensylvanicum","nocrop"
"2308","flynn18","exp1","Acer","pensylvanicum",NA,"yes","15","5","12","timeonly",12.66666667,1685,"1.5","30","26-Jan-2015",45.932675,-74.02507,10,12,3.88541666666667,12.66666667,"exp","exp","bothest",1685,78.1051281597331,"Acer_pensylvanicum",7,-0.917756068288069,-0.242892681737139,-0.342190528661979,"Acer_pensylvanicum","Acer_pensylvanicum","nocrop"
"2311","flynn18","exp1","Acer","pensylvanicum",NA,"yes","20","10","12","timeonly",32.75,1685,"1.5","30","26-Jan-2015",45.932675,-74.02507,15,12,3.88541666666667,32.75,"exp","exp","bothest",1685,78.1051281597331,"Acer_pensylvanicum",7,-0.0351292418212253,-0.242892681737139,-0.342190528661979,"Acer_pensylvanicum","Acer_pensylvanicum","nocrop"
"2331","flynn18","exp1","Acer","pensylvanicum",NA,"yes","15","5","12","timeonly",8.833333333,1669,"1.5","30","21-Jan-2015",42.531705,-72.18992,10,12,3.86041666666667,8.833333333,"exp","exp","bothest",1669,76.2718839215756,"Acer_pensylvanicum",7,-0.917756068288069,-0.242892681737139,-0.350106162800676,"Acer_pensylvanicum","Acer_pensylvanicum","nocrop"
"2332","flynn18","exp1","Acer","pensylvanicum",NA,"yes","20","10","8","timeonly",17.33333333,1669,"1.5","30","21-Jan-2015",42.531705,-72.18992,13.3333333333333,8,3.86041666666667,17.33333333,"exp","exp","bothest",1669,76.2718839215756,"Acer_pensylvanicum",7,-0.32933818397684,-1.00803446073276,-0.350106162800676,"Acer_pensylvanicum","Acer_pensylvanicum","nocrop"
"2373","flynn18","exp1","Acer","pensylvanicum",NA,"yes","20","10","8","timeonly",36.33333333,1669,"1.5","30","21-Jan-2015",42.531705,-72.18992,13.3333333333333,8,3.86041666666667,36.33333333,"exp","exp","bothest",1669,76.2718839215756,"Acer_pensylvanicum",7,-0.32933818397684,-1.00803446073276,-0.350106162800676,"Acer_pensylvanicum","Acer_pensylvanicum","nocrop"
"2374","flynn18","exp1","Acer","pensylvanicum",NA,"yes","20","10","8","timeonly",18.66666667,1685,"1.5","30","26-Jan-2015",45.932675,-74.02507,13.3333333333333,8,3.88541666666667,18.66666667,"exp","exp","bothest",1685,78.1051281597331,"Acer_pensylvanicum",7,-0.32933818397684,-1.00803446073276,-0.342190528661979,"Acer_pensylvanicum","Acer_pensylvanicum","nocrop"
"2383","flynn18","exp1","Acer","pensylvanicum",NA,"yes","15","5","8","timeonly",14.33333333,1685,"1.5","30","26-Jan-2015",45.932675,-74.02507,8.33333333333333,8,3.88541666666667,14.33333333,"exp","exp","bothest",1685,78.1051281597331,"Acer_pensylvanicum",7,-1.21196501044368,-1.00803446073276,-0.342190528661979,"Acer_pensylvanicum","Acer_pensylvanicum","nocrop"
"2386","flynn18","exp1","Acer","pensylvanicum",NA,"yes","20","10","12","timeonly",29.83333333,1669,"1.5","30","21-Jan-2015",42.531705,-72.18992,15,12,3.86041666666667,29.83333333,"exp","exp","bothest",1669,76.2718839215756,"Acer_pensylvanicum",7,-0.0351292418212253,-0.242892681737139,-0.350106162800676,"Acer_pensylvanicum","Acer_pensylvanicum","nocrop"
"2398","flynn18","exp1","Acer","pensylvanicum",NA,"yes","15","5","8","timeonly",46.66666667,1685,"1.5","30","26-Jan-2015",45.932675,-74.02507,8.33333333333333,8,3.88541666666667,46.66666667,"exp","exp","bothest",1685,78.1051281597331,"Acer_pensylvanicum",7,-1.21196501044368,-1.00803446073276,-0.342190528661979,"Acer_pensylvanicum","Acer_pensylvanicum","nocrop"
"2408","flynn18","exp1","Acer","pensylvanicum",NA,"yes","20","10","12","timeonly",8.833333333,1669,"1.5","30","21-Jan-2015",42.531705,-72.18992,15,12,3.86041666666667,8.833333333,"exp","exp","bothest",1669,76.2718839215756,"Acer_pensylvanicum",7,-0.0351292418212253,-0.242892681737139,-0.350106162800676,"Acer_pensylvanicum","Acer_pensylvanicum","nocrop"
"2411","flynn18","exp1","Acer","pensylvanicum",NA,"yes","20","10","8","timeonly",42.83333333,1685,"1.5","30","26-Jan-2015",45.932675,-74.02507,13.3333333333333,8,3.88541666666667,42.83333333,"exp","exp","bothest",1685,78.1051281597331,"Acer_pensylvanicum",7,-0.32933818397684,-1.00803446073276,-0.342190528661979,"Acer_pensylvanicum","Acer_pensylvanicum","nocrop"
"2425","flynn18","exp1","Acer","pensylvanicum",NA,"yes","20","10","8","timeonly",20.33333333,1669,"4","30","21-Jan-2015",42.531705,-72.18992,13.3333333333333,8,5.36041666666667,20.33333333,"exp","exp","bothest",1669,81.5830994379268,"Acer_pensylvanicum",7,-0.32933818397684,-1.00803446073276,0.124831885521123,"Acer_pensylvanicum","Acer_pensylvanicum","nocrop"
"2427","flynn18","exp1","Acer","pensylvanicum",NA,"yes","20","10","8","timeonly",40.66666667,1669,"4","30","21-Jan-2015",42.531705,-72.18992,13.3333333333333,8,5.36041666666667,40.66666667,"exp","exp","bothest",1669,81.5830994379268,"Acer_pensylvanicum",7,-0.32933818397684,-1.00803446073276,0.124831885521123,"Acer_pensylvanicum","Acer_pensylvanicum","nocrop"
"2436","flynn18","exp1","Acer","pensylvanicum",NA,"yes","15","5","12","timeonly",41.75,1669,"4","30","21-Jan-2015",42.531705,-72.18992,10,12,5.36041666666667,41.75,"exp","exp","bothest",1669,81.5830994379268,"Acer_pensylvanicum",7,-0.917756068288069,-0.242892681737139,0.124831885521123,"Acer_pensylvanicum","Acer_pensylvanicum","nocrop"
"2437","flynn18","exp1","Acer","pensylvanicum",NA,"yes","15","5","12","timeonly",13,1669,"4","30","21-Jan-2015",42.531705,-72.18992,10,12,5.36041666666667,13,"exp","exp","bothest",1669,81.5830994379268,"Acer_pensylvanicum",7,-0.917756068288069,-0.242892681737139,0.124831885521123,"Acer_pensylvanicum","Acer_pensylvanicum","nocrop"
"2444","flynn18","exp1","Acer","pensylvanicum",NA,"yes","20","10","12","timeonly",31.5,1669,"4","30","21-Jan-2015",42.531705,-72.18992,15,12,5.36041666666667,31.5,"exp","exp","bothest",1669,81.5830994379268,"Acer_pensylvanicum",7,-0.0351292418212253,-0.242892681737139,0.124831885521123,"Acer_pensylvanicum","Acer_pensylvanicum","nocrop"
"2498","flynn18","exp1","Acer","pensylvanicum",NA,"yes","15","5","8","timeonly",13.66666667,1685,"4","30","26-Jan-2015",45.932675,-74.02507,8.33333333333333,8,5.38541666666667,13.66666667,"exp","exp","bothest",1685,83.4163436760843,"Acer_pensylvanicum",7,-1.21196501044368,-1.00803446073276,0.132747519659819,"Acer_pensylvanicum","Acer_pensylvanicum","nocrop"
"2508","flynn18","exp1","Acer","pensylvanicum",NA,"yes","15","5","8","timeonly",15.4,1669,"4","30","21-Jan-2015",42.531705,-72.18992,8.33333333333333,8,5.36041666666667,15.4,"exp","exp","bothest",1669,81.5830994379268,"Acer_pensylvanicum",7,-1.21196501044368,-1.00803446073276,0.124831885521123,"Acer_pensylvanicum","Acer_pensylvanicum","nocrop"
"2530","flynn18","exp1","Acer","pensylvanicum",NA,"yes","15","5","12","timeonly",42,1685,"4","30","26-Jan-2015",45.932675,-74.02507,10,12,5.38541666666667,42,"exp","exp","bothest",1685,83.4163436760843,"Acer_pensylvanicum",7,-0.917756068288069,-0.242892681737139,0.132747519659819,"Acer_pensylvanicum","Acer_pensylvanicum","nocrop"
"2537","flynn18","exp1","Acer","pensylvanicum",NA,"yes","15","5","8","timeonly",44,1669,"4","30","21-Jan-2015",42.531705,-72.18992,8.33333333333333,8,5.36041666666667,44,"exp","exp","bothest",1669,81.5830994379268,"Acer_pensylvanicum",7,-1.21196501044368,-1.00803446073276,0.124831885521123,"Acer_pensylvanicum","Acer_pensylvanicum","nocrop"
"2538","flynn18","exp1","Acer","pensylvanicum",NA,"yes","20","10","12","timeonly",15,1669,"4","30","21-Jan-2015",42.531705,-72.18992,15,12,5.36041666666667,15,"exp","exp","bothest",1669,81.5830994379268,"Acer_pensylvanicum",7,-0.0351292418212253,-0.242892681737139,0.124831885521123,"Acer_pensylvanicum","Acer_pensylvanicum","nocrop"
"2551","flynn18","exp1","Acer","pensylvanicum",NA,"yes","20","10","12","timeonly",17.16666667,1685,"4","30","26-Jan-2015",45.932675,-74.02507,15,12,5.38541666666667,17.16666667,"exp","exp","bothest",1685,83.4163436760843,"Acer_pensylvanicum",7,-0.0351292418212253,-0.242892681737139,0.132747519659819,"Acer_pensylvanicum","Acer_pensylvanicum","nocrop"
"2565","flynn18","exp1","Acer","pensylvanicum",NA,"yes","20","10","12","timeonly",27,1685,"4","30","26-Jan-2015",45.932675,-74.02507,15,12,5.38541666666667,27,"exp","exp","bothest",1685,83.4163436760843,"Acer_pensylvanicum",7,-0.0351292418212253,-0.242892681737139,0.132747519659819,"Acer_pensylvanicum","Acer_pensylvanicum","nocrop"
"2569","flynn18","exp1","Acer","pensylvanicum",NA,"yes","15","5","12","timeonly",13.5,1685,"4","30","26-Jan-2015",45.932675,-74.02507,10,12,5.38541666666667,13.5,"exp","exp","bothest",1685,83.4163436760843,"Acer_pensylvanicum",7,-0.917756068288069,-0.242892681737139,0.132747519659819,"Acer_pensylvanicum","Acer_pensylvanicum","nocrop"
"2581","flynn18","exp1","Acer","pensylvanicum",NA,"yes","15","5","8","timeonly",49.33333333,1685,"4","30","26-Jan-2015",45.932675,-74.02507,8.33333333333333,8,5.38541666666667,49.33333333,"exp","exp","bothest",1685,83.4163436760843,"Acer_pensylvanicum",7,-1.21196501044368,-1.00803446073276,0.132747519659819,"Acer_pensylvanicum","Acer_pensylvanicum","nocrop"
"2586","flynn18","exp1","Acer","pensylvanicum",NA,"yes","20","10","8","timeonly",20.33333333,1685,"4","30","26-Jan-2015",45.932675,-74.02507,13.3333333333333,8,5.38541666666667,20.33333333,"exp","exp","bothest",1685,83.4163436760843,"Acer_pensylvanicum",7,-0.32933818397684,-1.00803446073276,0.132747519659819,"Acer_pensylvanicum","Acer_pensylvanicum","nocrop"
"2587","flynn18","exp1","Acer","pensylvanicum",NA,"yes","20","10","8","timeonly",42.8,1685,"4","30","26-Jan-2015",45.932675,-74.02507,13.3333333333333,8,5.38541666666667,42.8,"exp","exp","bothest",1685,83.4163436760843,"Acer_pensylvanicum",7,-0.32933818397684,-1.00803446073276,0.132747519659819,"Acer_pensylvanicum","Acer_pensylvanicum","nocrop"
"8360","zohner16","exp1","Acer","platanoides","","yes","18","14","8","timeonly",50.5625,989,"","","21-Dec-2013",48.16447,11.50293,15.3333333333333,8,4.44791666666667,50.5625,"exp","exp","fldest",989,61.1148070881309,"Acer_platanoides",8,0.0237125466098977,-1.00803446073276,-0.164088760541305,"Acer_platanoides","Acer_platanoides","nocrop"
"8361","zohner16","exp1","Acer","platanoides","","yes","18","14","8","timeonly",35.375,1831,"","","10-Feb-2014",48.16447,11.50293,15.3333333333333,8,6.875,35.375,"exp","exp","fldest",1831,95.3468886724268,"Acer_platanoides",8,0.0237125466098977,-1.00803446073276,0.604387387090495,"Acer_platanoides","Acer_platanoides","nocrop"
"8362","zohner16","exp1","Acer","platanoides","","yes","18","14","8","timeonly",30.64325,2380,"","","21-Mar-2014",48.16447,11.50293,15.3333333333333,8,9.26458333333333,30.64325,"exp","exp","fldest",2380,123.490985386386,"Acer_platanoides",8,0.0237125466098977,-1.00803446073276,1.36099008351425,"Acer_platanoides","Acer_platanoides","nocrop"
"8780","zohner16","exp1","Acer","platanoides","","yes","18","14","16","timeonly",50.5625,989,"","","21-Dec-2013",48.16447,11.50293,16.6666666666667,16,4.44791666666667,50.5625,"exp","exp","fldest",989,61.1148070881309,"Acer_platanoides",8,0.259079700334389,0.522249097258486,-0.164088760541305,"Acer_platanoides","Acer_platanoides","nocrop"
"8781","zohner16","exp1","Acer","platanoides","","yes","18","14","16","timeonly",32.9375,1831,"","","10-Feb-2014",48.16447,11.50293,16.6666666666667,16,6.875,32.9375,"exp","exp","fldest",1831,95.3468886724268,"Acer_platanoides",8,0.259079700334389,0.522249097258486,0.604387387090495,"Acer_platanoides","Acer_platanoides","nocrop"
