"","models","slope","slope.sd","slope.signif","DIC","slope.diff","best.slope","h2"
"1","M.0",0.713577788106611,0.0585423650420749,1,1532.15563136492,0.0364222118933892,0,NA
"2","M.1",0.718735059812385,0.0498144914813085,1,1412.48847703179,0.0312649401876149,1,0.50085189843675
"3","gls0",0.716762637186281,0.0581137022766029,1,-999,0.0332373628137195,0,NA
"4","gls1",0.656601310842272,0.0487846288814723,1,-999,0.0933986891577276,0,NA
"5","gls2",0.716762637186281,0.0581137022766029,1,-999,0.0332373628137195,0,NA
"6","gls3",0.718029947294777,0.0509333819330068,1,-999,0.0319700527052228,0,NA
