"","m","lam","phylosig","bz50","bz2.5","bz97.5","lam_interceptsb50","lam_interceptsb2.5","lam_interceptsb97.5","slopelm","Rhat"
"1",0.1,0.1,6.61978543611594e-05,0.0330823580929787,-0.0980265614056481,0.157305233190835,0.0946214549155816,0.400101123904493,0.00255159660668251,1.00008709276145,1.03656812692419
"2",0.1,0.5,0.575450262610548,0.0535995441169211,-0.152830677120516,0.26820738138239,0.589519235419279,0.789723208725804,0.374099239803332,1.00009996995935,1.00550939864389
"3",0.1,0.9,0.868735599395696,0.059012780951193,-0.0772091278267832,0.274176700098455,0.882354813994853,1.00132620843517,0.697399059461932,0.999828053860703,9.06075136593802
"4",0.5,0.1,0.141610437524692,0.478392130779889,0.343954732464864,0.608136354398909,0.187580007758707,0.443116657922099,0.0503184304569752,1.00000730738789,1.03250616063422
"5",0.5,0.5,0.591073552362742,0.507040273227125,0.305498596874884,0.703087657906571,0.601983144566662,0.778541442038643,0.379360374112324,1.00010122823412,1.00997774225966
"6",0.5,0.9,0.896081294429179,0.439170492767297,0.222188498166967,0.648245336890526,0.886474239218394,0.948624294582959,0.764541707974669,0.999780119155312,1.02466558318566
"7",1,0.1,0.0231654659041297,0.91326903447563,0.752884789561493,1.05031877014024,0.142598000254441,0.475031540572569,0.00905211377745216,1.00006863655357,1.01471423929007
"8",1,0.5,0.214930625145482,0.973932061009092,0.81789636186829,1.11454464305771,0.308038942714103,0.611992794983356,0.0562799565916489,0.999735144484927,1.02936955005875
"9",1,0.9,0.83149484966203,0.988873346325108,0.775712918985769,1.20455921301289,0.830823209227149,0.927228521881679,0.644795167390036,0.999948620313353,1.01427275041007
"10",5,0.1,6.61978543611594e-05,4.89644667456001,4.13786164631045,5.05129581260403,0.255021011610896,0.874953205788956,0.0318634878809612,0.999968731229484,1.08023583413668
"11",5,0.5,0.617624734503173,4.49046791529799,3.8754755010705,4.9316477288089,0.790148533781726,0.920123924923815,0.563985348483392,0.999927891536828,1.02226012967447
"12",5,0.9,0.880001299502774,4.62884561982254,4.23081213793013,4.93793147432295,0.916744060273986,0.975382937034632,0.756072215608506,1.00013179327721,1.06886281220979
