"","rep","runs","lambda","mean","se_mean","sd","X2.5.","X25.","X50.","X75.","X97.5.","n_eff","Rhat","true"
"sigma_y",1,1,0,0.0100527876822088,5.81927800324652e-06,0.000395783200833643,0.00932489126496215,0.00977872769979385,0.0100446020155605,0.0103167530271862,0.01085358462303,4625.68976933792,0.99996923004785,0.01
"lam_interceptsa",2,1,0,0.495813285877845,0.0038576466832964,0.204210335274347,0.074271574680279,0.353239574496536,0.511387080151136,0.651498102347014,0.84286900830648,2802.27362572083,1.00109473472845,0
"sigma_interceptsa",3,1,0,0.237668556552363,0.000577035175475716,0.035403636549576,0.181010909208945,0.212842345858128,0.233240213692594,0.256926293523533,0.318081487246721,3764.3601833721,1.00068609814571,0.2
"lam_interceptsb",4,1,0,0.498886538324819,0.00531373751237026,0.278643066562385,0.0290562048113882,0.261548750303714,0.491514174119736,0.734191958671835,0.968213536094766,2749.76947992384,0.999673815013289,0
"sigma_interceptsb",5,1,0,0.125378320241934,0.000411822357222839,0.0220527865269082,0.0922943800440542,0.109292453110083,0.121218798241741,0.138182332327565,0.178779388712198,2867.52429879453,1.00011698675374,0.1
"b[1]",6,1,0,0.581025089124262,1.77277296046624e-05,0.00129975307907387,0.578493749693782,0.580144862002014,0.581022330455615,0.581930283035734,0.583497760946522,5375.45798814115,0.999528852206792,0.579238353563795
"b[2]",7,1,0,0.58885848208698,1.21429803431439e-05,0.000966199799826087,0.586939949664541,0.588217193445577,0.588858962222081,0.589508470647644,0.590766817009308,6331.16019382861,0.999587861964393,0.588259102425634
"b[3]",8,1,0,0.58054297952299,1.28563653157579e-05,0.000993252932127805,0.5785652033723,0.579875698317887,0.580542811653989,0.581213135769487,0.582491097957888,5968.74881370883,0.999643367537103,0.579824017878971
"b[4]",9,1,0,0.514980558081319,1.76833425361473e-05,0.00126627795667303,0.512495700298612,0.514138425327277,0.514967036795166,0.515827867016556,0.517454609834295,5127.77988557446,0.999766015520037,0.51650173893208
"b[5]",10,1,0,0.654218497494003,2.50466151140938e-05,0.00170571604399337,0.650889799128512,0.653055261748857,0.654247467023843,0.655349995555802,0.657498846438362,4637.83597154425,0.999612679704904,0.657005511002325
"b[6]",11,1,0,0.499019563188746,1.18049861053233e-05,0.000974270954830343,0.497110363178152,0.498375564795396,0.49900904326624,0.499666569878599,0.500952623018189,6811.27712513697,0.999514482389651,0.497629859072167
"b[7]",12,1,0,0.626341480830399,1.42373335788922e-05,0.00102641044406091,0.624292423139516,0.625663971689042,0.626338570517098,0.627041379210528,0.628312840876743,5197.38398307238,1.00020164913601,0.626799704162319
"b[8]",13,1,0,0.634775521351387,1.67900783575017e-05,0.00117581518995643,0.632405569630631,0.634008539106279,0.634768624300262,0.635568456899734,0.637070274558713,4904.25097264204,0.999689792926685,0.634052655684797
"b[9]",14,1,0,0.676700718198691,2.97673183369663e-05,0.00189658042625385,0.67302629422714,0.675429624748495,0.676732600614569,0.678001146592404,0.680287049095925,4059.41174914528,0.999630837516598,0.680749761880242
"b[10]",15,1,0,0.614590159748232,3.74656959593876e-05,0.00227275085142463,0.610234429272036,0.613025278107492,0.614533757140387,0.616158175168757,0.618988248056651,3679.90027441789,0.999605117505382,0.61392103214203
"b[11]",16,1,0,0.637095174953665,1.5398415023414e-05,0.00113125204686654,0.634893610974267,0.636340973063136,0.637082365919805,0.637832758055256,0.639299505804545,5397.17766701119,0.999782056339231,0.636975173242827
"b[12]",17,1,0,0.55814439570723,1.50462440691803e-05,0.00114001228439253,0.555883878170376,0.557382041656487,0.558131370169672,0.558909223896016,0.560368739435848,5740.67363905835,0.999897375036584,0.557644808201931
"b[13]",18,1,0,0.654659853887906,3.99708209720859e-05,0.00248918193589829,0.649764691514915,0.652954366464373,0.654650577003683,0.656347039336539,0.659440916596907,3878.17269550773,0.999969343578466,0.65836012248786
"b[14]",19,1,0,0.702176186827078,7.22432701212922e-06,0.000618436898669712,0.700971520847203,0.701766213728361,0.702179279301949,0.702587814703504,0.703351274749759,7328.17774618892,0.999502567762454,0.70205087123645
"b[15]",20,1,0,0.747063970045161,1.58434341532048e-05,0.00115665650707076,0.74481019202534,0.74630409430645,0.74705768739659,0.747803518589094,0.749396689661447,5329.79081922218,0.999210850216759,0.74686144011479
"b[16]",21,1,0,0.691468816171197,1.93163234397511e-05,0.00136387613148055,0.688824190449374,0.69054966180658,0.69148804246278,0.692388018750422,0.694125172749523,4985.41046044494,0.999537705854205,0.689911841872921
"b[17]",22,1,0,0.630003115531698,1.21534167595658e-05,0.000918658993781738,0.628219021920568,0.629376544266553,0.630007452301573,0.630633054177089,0.631765650497997,5713.62694290257,1.00062662052236,0.62965211179723
"b[18]",23,1,0,0.572951489511573,1.0474144499125e-05,0.000826691490669824,0.571331951490056,0.572402725504853,0.572951581955043,0.573507797194619,0.574552967897892,6229.45155288889,0.99955776890079,0.571611386242755
"b[19]",24,1,0,0.537994611578091,2.37960269339962e-05,0.00165814842455451,0.534691885457839,0.536868524777769,0.538005136076636,0.539157721573031,0.541186278414649,4855.54408535811,0.999520364552,0.53782925922507
"b[20]",25,1,0,0.497697726953909,2.1105583723495e-05,0.00144753232500924,0.494869706559243,0.496701887854669,0.497696142940709,0.498682150394318,0.500551798155415,4703.9403452157,1.00039009238888,0.498229326317926
"b[21]",26,1,0,0.468578621180911,1.87207362979901e-05,0.00136864946082537,0.465886812517026,0.467635657114011,0.468586753748466,0.469517720161717,0.471169288404515,5344.88800659296,0.999658175633369,0.470199294005704
"b[22]",27,1,0,0.493589314840929,1.30042018784552e-05,0.00100617612511918,0.491591641554059,0.492917666399973,0.493585819755924,0.494268709058758,0.495533943274838,5986.60508521618,0.999480667754401,0.495002845712732
"b[23]",28,1,0,0.503644676975507,1.06639169652491e-05,0.000845531547395394,0.501940018405229,0.503091208418246,0.503635585767252,0.504199411162302,0.505301908946307,6286.74901762139,0.999837220269555,0.50385042284441
"b[24]",29,1,0,0.573592912918825,1.93227763276463e-05,0.00136075431681283,0.570928372276262,0.572689729621872,0.573580608392688,0.574495731352531,0.576224405198851,4959.30008533989,0.999745554275232,0.571297380549944
"b[25]",30,1,0,0.43659870855181,1.02315220288963e-05,0.000839595068602489,0.434964899228355,0.436036548879394,0.4365890119492,0.437150127839102,0.438226202300973,6733.78538727709,1.00008279286634,0.436894143813013
"b[26]",31,1,0,0.668262476314281,1.6430363059439e-05,0.00112756147065178,0.666063796294629,0.667495247656465,0.668285090896304,0.669032210994529,0.670448955107595,4709.62290100402,0.999803266970112,0.666969801537271
"b[27]",32,1,0,0.639990587359717,1.74630296858187e-05,0.00129527418138378,0.637498252336929,0.639106315496355,0.639975555188668,0.640883151014115,0.642557364659469,5501.53947078397,1.00023146571244,0.64120521708449
"b[28]",33,1,0,0.568897447461178,1.31209083384723e-05,0.000937623502170212,0.567083565850698,0.568250515428556,0.568895744588861,0.569545662615821,0.570726878266574,5106.56855085785,0.999554821638621,0.570652971834152
"b[29]",34,1,0,0.530597787906024,1.5990219512752e-05,0.00121313024116991,0.528163986437869,0.529790039674754,0.530611745595976,0.531403035882143,0.532999353352777,5755.80413147567,0.999763130659512,0.529113658218826
"b[30]",35,1,0,0.194240551990545,1.70533730156225e-05,0.00124968115889368,0.191746111795909,0.193421267227304,0.194256717336456,0.195071794513333,0.196692740124029,5370.04420743248,0.999204527964195,0.195560910009274
"b[31]",36,1,0,0.672652313397544,1.35400795323094e-05,0.00105380399478455,0.670597099118107,0.671955420935934,0.672632573781144,0.67336448660567,0.674687574748377,6057.27443398728,0.999232336106506,0.672879044338222
"b[32]",37,1,0,0.670432728057441,1.734129261433e-05,0.00126864209003972,0.667981215025737,0.6695622857178,0.670441765079852,0.671300112581701,0.67296572786772,5351.99006966256,0.999994762003497,0.671723115403043
"b[33]",38,1,0,0.613096173670215,1.70724439852044e-05,0.00128010432057635,0.61059607630279,0.61222038734304,0.613077202550005,0.613949975655328,0.615588597858145,5622.10993880689,0.999371642088849,0.61336231634356
"b[34]",39,1,0,0.371581248926431,1.24820437483272e-05,0.00098320584353276,0.369625519884822,0.370905149184471,0.371600853708505,0.372250839824987,0.373480219169992,6204.65304319426,0.999623781908816,0.372710755336733
"b[35]",40,1,0,0.466533616926341,1.37465449088834e-05,0.00107249291173782,0.464378000871016,0.465839141688651,0.466529630931762,0.467238874555912,0.468593288745264,6086.97826029895,0.999643001001093,0.465236203748562
"b[36]",41,1,0,0.534032503086784,1.23797322076654e-05,0.000949545175659743,0.532188273372422,0.533390599648166,0.534036787402998,0.53465571891997,0.535908154051242,5883.13429957339,0.999909430424558,0.535632859026334
"b[37]",42,1,0,0.510818011681906,1.82809182593535e-05,0.00127668992113724,0.5083287279112,0.509935705984211,0.510827358350687,0.511668950975519,0.513326865670284,4877.24807691472,0.999495025586698,0.510975393109828
"b[38]",43,1,0,0.693544289204877,1.89510201789958e-05,0.00136857298763393,0.690763674274989,0.692619911262905,0.693552863335167,0.694451147771799,0.696246068813021,5215.19725587641,0.999595532936422,0.694569774224983
"b[39]",44,1,0,0.707440743172474,1.18436251570159e-05,0.000909262024865674,0.705661816596327,0.706834776764719,0.70742595317312,0.708061699834326,0.709236945841839,5893.98191457136,0.999471202567621,0.7082654298176
"b[40]",45,1,0,0.574592630304416,9.97473094908528e-06,0.000816398379920396,0.572985035834544,0.574039197576396,0.574594569873382,0.57515310140639,0.576175720328649,6698.87521716469,0.999391841708816,0.574890152104719
"b_z",46,1,0,0.580106452667657,0.000705630726607962,0.0419980250437176,0.498521136022706,0.555455618674907,0.579821328130371,0.604910795981799,0.666443518651929,3542.44216621518,1.00186146663217,0.6
"a[1]",47,1,0,3.58938043284419,0.00017268239260576,0.0127638206119238,3.56528818878777,3.58048733217716,3.58955329829773,3.59817168696323,3.61403721728523,5463.42856259909,0.999433525398502,3.60891823121828
"a[2]",48,1,0,3.93379782616704,0.000134319966493443,0.0106946689157381,3.91260585411245,3.92658460574577,3.93388303819153,3.94085856773908,3.95466810971825,6339.47858288578,0.99964455831103,3.93753255755871
"a[3]",49,1,0,4.04571200437015,0.000141891035371586,0.010768703418188,4.02525830892142,4.0384323631898,4.04547205076831,4.05290106223848,4.06721790747597,5759.9261720237,0.999689411980291,4.0526636479209
"a[4]",50,1,0,4.1637763939737,0.000207806806370534,0.0149815202494631,4.13490598105778,4.15370618843181,4.16396384609352,4.17373388065409,4.19311015913548,5197.47291875812,0.999722780655325,4.1502821931284
"a[5]",51,1,0,4.3410006320521,0.000256665872848065,0.0174214310400539,4.30715017605244,4.32919578986653,4.34061075037407,4.35305976404818,4.3739424493002,4607.13987475469,0.999555473063217,4.31706249178882
"a[6]",52,1,0,3.66425788995499,0.000115651191815921,0.00953473980500548,3.64529950931244,3.65807145255709,3.66431589849844,3.67058861594594,3.6831645975372,6797.00308019734,0.99928355593626,3.67547153945331
