"","mean","se_mean","sd","X2.5.","X25.","X50.","X75.","X97.5.","n_eff","Rhat"
"sigma_y",0.00989505068828478,5.52367589277816e-06,0.000393071828190167,0.00916739349991809,0.00961861293295179,0.0098844780429255,0.0101605331441347,0.0106855249731394,5063.92729083114,0.999932119827849
"lam_interceptsa",0.690164734096636,0.00331444915315621,0.190769057093645,0.254476227251804,0.569894920881752,0.724267893492676,0.84461089037592,0.960971894364694,3312.78418692889,1.00163732152046
"sigma_interceptsa",0.20210607339013,0.000640185520038056,0.0347476394582707,0.147294408625425,0.17655635297953,0.198380571724309,0.223426106559501,0.280221721591392,2946.04190130568,1.00239322332621
"lam_interceptsb",0.727167840585702,0.00281035891616906,0.164703020730599,0.341245619771849,0.630428847700145,0.75790363942394,0.851885423525878,0.962095119763384,3434.62678780326,1.00072094054943
"sigma_interceptsb",0.111682771078399,0.000356249874998874,0.018675910197942,0.0819543426876252,0.0982368391573256,0.109370769159445,0.122073857935115,0.154786995385047,2748.23655958988,1.00069626236098
"b[1]",0.519110534645984,1.28893467551576e-05,0.000968138228281936,0.517223178075296,0.518436997154327,0.519123986307059,0.519780329610254,0.52097933188093,5641.73812550098,1.00005847135169
"b[2]",0.578401827839185,1.46020696041204e-05,0.0010745765156405,0.576357450346743,0.577649400059977,0.578403295651825,0.579122258412779,0.580544494870253,5415.59104610162,0.999370380557927
"b[3]",0.604665101430067,1.47597103049534e-05,0.00104934776862282,0.602617390229448,0.603967804333369,0.60467076173445,0.605375649501045,0.606742752837419,5054.55841178313,0.999382116113607
"b[4]",0.540432045956382,1.67220260227072e-05,0.00123216304495721,0.537957674784607,0.539628258176506,0.540449503622937,0.5412504212239,0.542818554588829,5429.48413797925,0.99994763723611
"b[5]",0.449937463572566,2.15182677999896e-05,0.00145578120518568,0.447107457063336,0.44894837614889,0.449932927187279,0.45089959304851,0.452856940715118,4576.96509122544,1.00009849597333
"b[6]",0.667934011856114,1.47784378167604e-05,0.00108630748791904,0.665847052379477,0.667178237282074,0.667953772714937,0.668674791242148,0.67005889714511,5403.16822353967,1.00040997947521
"b[7]",0.619235280814027,1.59722595394738e-05,0.00111643234851552,0.617029179657162,0.618482766264183,0.619235968449988,0.619988111420936,0.621479109785002,4885.75973539204,0.999965832878661
"b[8]",0.651745673918821,2.44702307492157e-05,0.0016114470677828,0.648647511752034,0.65065304621855,0.651763585333851,0.652821598033391,0.654923386640083,4336.66584663256,0.99915891215659
"b[9]",0.76006051396683,1.23772372509443e-05,0.000966634516917039,0.758206970889461,0.759408604335319,0.760052873537596,0.760710859526382,0.761965372656044,6099.26027639944,0.999961129093741
"b[10]",0.675717744023886,1.51561787597178e-05,0.00114901878811489,0.673458098368691,0.674953347730098,0.675710102521525,0.676489550394193,0.677963119780466,5747.44497794615,0.999554595509668
"b[11]",0.793846067955997,1.06936752898221e-05,0.00087149670099509,0.792147779563536,0.793259456527071,0.7938401125811,0.79441684144773,0.795607985266086,6641.67330476558,0.999813668825316
"b[12]",0.714086548393042,1.3619708935759e-05,0.00100672729693526,0.712149278104935,0.713413541960129,0.714076337449905,0.714766128565431,0.716092149718215,5463.71498189398,0.999406780021855
"b[13]",0.64623443803203,2.41037132569204e-05,0.00164189366564973,0.642955248522512,0.645166573393369,0.646248335362419,0.647378335034191,0.649478524350725,4640.04454962088,0.999460164036377
"b[14]",0.536624347398081,1.54794926414037e-05,0.00115816524244234,0.534336156340339,0.535856691458266,0.536631903296196,0.537421497296676,0.53883502653945,5597.93189294468,0.999578964845875
"b[15]",0.522481344026676,1.98499516893573e-05,0.00137744708701521,0.519840949928745,0.521565127046956,0.522471500088392,0.5234159753835,0.525213251741527,4815.38418008448,1.00011291050529
"b[16]",0.617872835382048,1.62758314355414e-05,0.00121127999306823,0.615456294612559,0.61706329778274,0.617889753572086,0.61869193553093,0.620205232746053,5538.63468732345,0.999382395954456
"b[17]",0.585730098813299,1.75138503013236e-05,0.00125725845241297,0.583203557792233,0.584879858140414,0.585740172535239,0.586579717733201,0.588199964943779,5153.30517084393,0.999386304910923
"b[18]",0.419375497220866,1.7332977243208e-05,0.00122253629358307,0.416910074937261,0.418552301994031,0.419376592991298,0.42020114860259,0.421754638372695,4974.8178991621,0.999354340786124
"b[19]",0.545522487963141,1.85767227234673e-05,0.00131762994496948,0.543015042190616,0.54461405840071,0.545516384863701,0.546413926233548,0.548134110947737,5030.93509813716,1.0004104205549
"b[20]",0.499997402952316,1.90137745945916e-05,0.00136257142627535,0.497355072236503,0.499058437901055,0.50000811280679,0.500915377171291,0.502692654502008,5135.48981791335,0.999735447123135
"b[21]",0.555798031195479,2.5151452687182e-05,0.00173172839120381,0.552442444346143,0.554658143786298,0.555757147091391,0.556974805361626,0.559165860624817,4740.60102904902,1.00071601622632
"b[22]",0.505726126901654,2.09861741583127e-05,0.00144117750059007,0.502834440086278,0.504768680749381,0.505749050421383,0.506687254566257,0.508573376934202,4715.94141685431,1.00002337566818
"b[23]",0.40498495316991,1.73381194772415e-05,0.00121745143798806,0.40256176507731,0.404174774149572,0.404988763493755,0.405794985638882,0.407387256621003,4930.59477623505,0.999640019683577
"b[24]",0.429996142045884,2.07205247369768e-05,0.0014718597100594,0.427103178223481,0.429012484492502,0.429980111738654,0.431015004688842,0.432778931227776,5045.81514081473,1.00121695935341
