"","mean","se_mean","sd","X2.5.","X25.","X50.","X75.","X97.5.","n_eff","Rhat"
"sigma_y",0.00988750965150776,6.40696450249775e-06,0.000396649842782218,0.00914666589862139,0.00962062222548576,0.00987228906798047,0.0101360412659019,0.0107237122007489,3832.74510230054,1.00134512989258
"lam_interceptsa",0.276834672596145,0.00401150653386414,0.202077178731598,0.00745807857563404,0.105120926015748,0.242997541603948,0.417644571095996,0.719250392084688,2537.57876872471,1.00011899294981
"sigma_interceptsa",0.203842090029677,0.00063137117293653,0.0327688842882468,0.15366631372992,0.180776369502653,0.199138656205065,0.221290812950058,0.283032994160576,2693.7284401159,0.999670928265616
"lam_interceptsb",0.468190468003814,0.0041595608925882,0.223859686987396,0.0590777506491579,0.294001560180476,0.475591543517912,0.642076872717502,0.87452337263697,2896.3884805513,0.999643538326909
"sigma_interceptsb",0.115288475380209,0.000367969353821125,0.0197475578723202,0.086258059627512,0.101527129364417,0.111825914990899,0.12556136112611,0.164277017846201,2880.07296309273,0.999850263397943
"b[1]",0.539891186335297,1.38530300867531e-05,0.0010595760514914,0.537766829352538,0.539215144523804,0.539898980244593,0.54058583180353,0.541933766565707,5850.2538725339,0.999075140052096
"b[2]",0.597975652349387,3.66056696820962e-05,0.00225034581081878,0.593511907646039,0.596490586026542,0.598004164382899,0.599489052176391,0.602372122210274,3779.21682751136,0.999359884450226
"b[3]",0.622317944135237,1.45766478956121e-05,0.00107286366486742,0.620257068687074,0.621597620987362,0.622321983017551,0.623038357256234,0.624395730279156,5417.18600076771,1.00002974475881
"b[4]",0.564274395112257,1.59314591123168e-05,0.00113026898793919,0.562099174720132,0.563524738923373,0.564271568369513,0.565031438358569,0.566502601295461,5033.29652730859,0.99949291438094
"b[5]",0.753551780450923,1.87130853763477e-05,0.00128820772531857,0.751024289368328,0.75266927456197,0.753579543680109,0.754419765877454,0.756118407421748,4738.93771293015,1.00028766416095
"b[6]",0.636524896315033,2.13117987313561e-05,0.00145887205342545,0.633696505616046,0.635540706087584,0.636522395713963,0.637502728775975,0.639357046730564,4685.91274783674,0.999188764731826
"b[7]",0.564703571018682,2.43113379854591e-05,0.0015764692209704,0.561716648241187,0.563625980022359,0.564685175001372,0.565783666619631,0.567816137407852,4204.87674190338,1.00001556702514
"b[8]",0.558050342377681,2.10246410560603e-05,0.0014811152903647,0.555195621265917,0.557088008413808,0.558059955016445,0.559058177011054,0.560896830833489,4962.72889133705,1.0004766985448
"b[9]",0.594384168556513,9.88149155720287e-06,0.000726258045947377,0.592943478421655,0.593900617722752,0.594375099385164,0.594872960722464,0.595801282184947,5401.7801645952,1.00008607332914
"b[10]",0.619428199743053,1.42871686026829e-05,0.00104375422337253,0.617410102840201,0.618718290915916,0.619428715155866,0.620121916037133,0.621485145149846,5337.08539690748,0.999708728311425
"b[11]",0.53282467763535,2.5077747202147e-05,0.00156715914246092,0.529737146454816,0.531764034740436,0.532821520715404,0.53384686880851,0.535913424982628,3905.25287641482,0.999351046073781
"b[12]",0.62966762765306,1.97655620643776e-05,0.00141544202523266,0.626979607882084,0.628707090373472,0.629672541921106,0.630622016473656,0.63247178879029,5128.21039196396,1.0008420744784
"b[13]",0.474391666462688,2.34534155910511e-05,0.0015110081041553,0.471392657648379,0.473375312443176,0.474427964280886,0.475412080736889,0.477321546292907,4150.70041804642,0.999445636017095
"b[14]",0.333877919210787,1.35545888899922e-05,0.000999867197452554,0.331903227182874,0.333201841295194,0.333867750613614,0.334527830586105,0.335883121493184,5441.41615352314,0.999217628215955
"b[15]",0.64833159474477,2.27546883418727e-05,0.00148878857428518,0.645406290772245,0.647327293253795,0.648325867215606,0.649347167717123,0.651202661415635,4280.79342664546,0.999856862497357
"b[16]",0.684269168518253,1.74297266003976e-05,0.00120340203306088,0.681874316727863,0.683462743565554,0.684286225713068,0.685072403299985,0.686567932713386,4766.94709403879,1.00004548033425
"b[17]",0.563708281064022,3.57830557408642e-05,0.00218136004656791,0.559504570176406,0.562229822533763,0.563696678948538,0.565124010373239,0.567995157233781,3716.20667349807,1.0019126132123
"b[18]",0.630948805001946,1.53526368124618e-05,0.00111535252399782,0.62874735566321,0.630199141110275,0.630938893881888,0.631702818733708,0.633156004340758,5277.8659597047,0.999416709098936
"b[19]",0.576684647850612,1.29117627358004e-05,0.00102369255722974,0.574677051524978,0.576014246530034,0.576685665720771,0.577350520986998,0.57868015068946,6285.90795957291,0.999990615207382
"b[20]",0.59460860378948,9.11052674772137e-06,0.000737735749201209,0.593159238429946,0.594108442109418,0.594611140423547,0.595121262483995,0.596049350497142,6557.14342295716,0.999797267467642
"b[21]",0.708445520704878,1.44419107560454e-05,0.00109106663485664,0.706334902397822,0.707708368560785,0.708442971961341,0.709170768435867,0.710647550706544,5707.59615040101,0.999742064328617
"b[22]",0.597178661893192,1.84473816853874e-05,0.00123344756043348,0.594739379314225,0.596348708170705,0.597175108084384,0.597992271302493,0.599642177792141,4470.66279006026,0.999269265559095
"b[23]",0.573649884965694,1.88447548388314e-05,0.00130257432743724,0.571096683106235,0.572778128973103,0.573622685830441,0.574522393203016,0.576287834588286,4777.7568631431,0.999670737917217
"b[24]",0.576271430231798,1.37148183529406e-05,0.000931709801190078,0.574450337078695,0.575639098970711,0.576287853012543,0.576906114162302,0.578071705093536,4615.10098398286,1.00071998223667
"b[25]",0.661124641085131,1.72035036010984e-05,0.00123500711737565,0.658638049677265,0.660327696990685,0.661127364989851,0.661926350007442,0.663554886284133,5153.53364267452,0.999364276257724
"b[26]",0.824932472753109,2.87475522798041e-05,0.00189449116187997,0.821116696124417,0.823683719393554,0.824936684714751,0.826237599028243,0.828554949983893,4342.93592826949,0.999574221819658
"b[27]",0.843269109290609,1.55999070856385e-05,0.00110492661373672,0.841162492285757,0.842507315127609,0.843255171675112,0.844024482131075,0.845456925696318,5016.75445804878,0.999527915102386
"b[28]",0.509449808436001,1.48837575961582e-05,0.00106037128534774,0.507328401802496,0.50875175825608,0.509456646730596,0.510174078489507,0.511498802816756,5075.63917425912,0.999551160610615
"b[29]",0.603442018552472,2.19186722375051e-05,0.00146011722786035,0.600637766130589,0.602458170140799,0.603432992552988,0.60444241269348,0.60622308552319,4437.58786783936,1.00008088667171
"b[30]",0.770280453885731,1.28256752003821e-05,0.000982237225574445,0.768389814936256,0.769618545488738,0.770261135846339,0.770923405956034,0.772251995694192,5865.05789565766,0.999648642021248
"b[31]",0.63794414579483,1.56944613298092e-05,0.00114726019093408,0.635725088465224,0.637149910353893,0.63792622393738,0.638754029929491,0.640160014197781,5343.56405404265,0.99956743908666
"b[32]",0.616593332759018,1.75653236983501e-05,0.001218333254421,0.614274138382832,0.615749349407271,0.616597839033836,0.617433693659915,0.618974311579207,4810.82857507584,0.999874970041473
"b[33]",0.587227297284097,2.62011298108064e-05,0.00163970099808076,0.583990862234601,0.586115219765517,0.587234569993912,0.588315042675998,0.590485708924701,3916.42022297652,0.999727561460339
"b[34]",0.655620348289971,1.72053112539959e-05,0.00127981488348217,0.653087487321354,0.654793817560393,0.655607021306083,0.656496744199595,0.658086104375913,5533.1092527848,0.999584228049832
"b[35]",0.493587940985616,1.53532638680877e-05,0.00106993942616939,0.491475730599074,0.492852211733565,0.493600905403808,0.494319723480749,0.495608933028026,4856.42799905663,1.00013842550964
"b[36]",0.712648928811897,1.26832385508012e-05,0.000945549543826984,0.710881278125708,0.711986508157654,0.712630650528157,0.713305918068485,0.714485081657422,5557.86837218817,0.999556444082617
"b[37]",0.60928309367181,3.12363214731058e-05,0.00200953419319269,0.605395374745239,0.60796190876787,0.609259675145708,0.610599114900144,0.613201224381395,4138.76752836875,0.999606974874004
"b[38]",0.590086602831576,1.66551091584392e-05,0.00117259177974329,0.587822699589246,0.58931473665086,0.590068657992515,0.590859870079832,0.592431122446149,4956.76949985119,0.99952883827862
"b[39]",0.769168615786022,1.37669875281192e-05,0.000947814648348836,0.767305934543475,0.768532112271178,0.769188878394567,0.769795032954977,0.770983329236866,4739.89798700981,1.00013613930778
"b[40]",0.758721936732627,1.22985349972367e-05,0.000950993299354605,0.756855518850915,0.758096546897511,0.758739643568344,0.759357211748315,0.760581388614129,5979.26981225244,0.999658814712433
"b_z",0.594330067860452,0.000691994935356248,0.0437607732498183,0.500313434029489,0.57015417726761,0.597259190224205,0.621999506818139,0.675368194596151,3999.1173005279,0.999598046179013
"a[1]",3.97272790071334,0.000120663785829779,0.00922702429705224,3.95493388542675,3.96644757454271,3.97273918736685,3.9788678537556,3.99077410068701,5847.4892764902,0.999393201883694
"a[2]",4.08686958413538,0.000352533796417179,0.0215461142172595,4.04530809325092,4.07217350449251,4.08696034556438,4.10064804292769,4.1295020133356,3735.39385207362,0.999448390439399
"a[3]",3.94695464582012,0.000183170991549204,0.0138012763993199,3.92043600792659,3.93754651417257,3.94690768450962,3.95611107036395,3.97305128653201,5677.08131062596,0.999958901017545
"a[4]",3.78022096652829,0.000155410424690015,0.0109378855760607,3.7583879037313,3.7727991570364,3.78030058696722,3.78762222135691,3.80109839108533,4953.43487057629,0.999697142227201
"a[5]",3.96261935008877,0.000188990036453772,0.0135234508089418,3.9358366262709,3.95341631745122,3.96260607116874,3.97159239336605,3.98969859671054,5120.3215344856,1.00026184563333
"a[6]",4.04930593207853,0.000216634500758949,0.0145113137081145,4.02118227168448,4.03950402613074,4.04948403448028,4.05902648924435,4.07725754783774,4487.02218150779,0.999281635349806
"a[7]",3.95401794192264,0.000232776170863497,0.0153570811783846,3.923642450896,3.94355051242026,3.95421444302399,3.96460950387707,3.9838297438834,4352.51543912472,1.00002150149929
