"","rep","runs","lambda","mean","se_mean","sd","X2.5.","X25.","X50.","X75.","X97.5.","n_eff","Rhat","true"
"sigma_y",1,1,0,0.0100850970669395,3.35318177190958e-06,0.000267510461059993,0.00958633441665279,0.0099042094395096,0.0100787195383655,0.0102570559676079,0.0106248679079997,6364.544780068,0.999760642064974,0.01
"lam_interceptsa",2,1,0,0.248590463661904,0.00329704628614634,0.192649113203592,0.00731584040004652,0.0859598932815084,0.210654665536922,0.374423351195149,0.692914414254317,3414.16055312047,1.0001113965508,0
"sigma_interceptsa",3,1,0,0.193488382156955,0.000477434739548388,0.030636461964203,0.146916852663601,0.171682272086373,0.188898076747959,0.20934905530048,0.267057954505393,4117.64770183367,0.999415501656853,0.2
"lam_interceptsb",4,1,0,0.351462129727753,0.00408242059186574,0.215276505936668,0.0161471500109816,0.175228767269784,0.330113832129393,0.515557750574914,0.78460612919585,2780.72332671202,0.999271409075281,0
"sigma_interceptsb",5,1,0,0.110843086998785,0.000317196642744971,0.018042496073009,0.0839601257824736,0.098203365777725,0.108121742179006,0.120363511884516,0.154685881027724,3235.46029660158,0.999946204976698,0.1
"b[1]",6,1,0,0.485679269112391,1.23537293540086e-05,0.00113387342320111,0.483500139606551,0.484948867908091,0.485640273965044,0.486446924472887,0.487850317955562,8424.28375752475,0.999549336187286,0.486180961562903
"b[2]",7,1,0,0.693709853060266,1.24151764688051e-05,0.00110037686777425,0.691616242666992,0.692971825976201,0.693715545742558,0.694452798421747,0.69584192374916,7855.55927725989,0.999293444895417,0.695378966024898
"b[3]",8,1,0,0.576779666780116,2.06941017994655e-05,0.00169114201619211,0.573457886190858,0.575663323594604,0.576792044215241,0.577910632406325,0.580151189623175,6678.31649435563,0.999919403519046,0.575261443076883
"b[4]",9,1,0,0.730774088153749,7.9665054166196e-06,0.000707877196472618,0.729425703211504,0.730302744082854,0.730777989165476,0.731230880725751,0.732161039989774,7895.50899950543,0.999766931543314,0.731333591611232
"b[5]",10,1,0,0.73344007124757,6.12871974461415e-06,0.000568752271868541,0.732339304641771,0.733058248628616,0.733438306177441,0.733837551910491,0.734565909272517,8612.05439650011,0.999077303369402,0.733426517106466
"b[6]",11,1,0,0.713424333106806,1.51072998412444e-05,0.0013136407108458,0.710810706295047,0.712584438369513,0.713428360328622,0.714283747784281,0.716010437087544,7561.00456763604,0.999259537257009,0.713090222424687
"b[7]",12,1,0,0.577299377081614,8.0234187483976e-06,0.000767491407297537,0.575749879292701,0.57679625680187,0.577292803279537,0.577804815181341,0.578796693597466,9150.14815173106,0.999755997048432,0.576998190082043
"b[8]",13,1,0,0.652706863043595,5.61865063839074e-06,0.000529687900370677,0.651649436774896,0.652351774373701,0.652715593634985,0.653064739144666,0.653758156462573,8887.42701025477,1.00002429150773,0.652034488382551
"b[9]",14,1,0,0.572814861768883,9.14997217026746e-06,0.000838198691346542,0.571181136632432,0.572238347509904,0.572808634133198,0.57339604109459,0.574434692901659,8391.7861981174,0.999659388636011,0.572897558583366
"b[10]",15,1,0,0.533585339040891,1.1155797982166e-05,0.00102698650004939,0.531535798992484,0.532911125489466,0.533583223274792,0.534258209797905,0.535571793700152,8474.77520409471,0.999348532583973,0.534316445440713
"b[11]",16,1,0,0.710984951176677,4.20060328436614e-05,0.00308014405769559,0.704832020020063,0.708969440304204,0.710969403877184,0.713080097842606,0.717130542055719,5376.73611777997,1.00035222341006,0.712835732475106
"b[12]",17,1,0,0.469277611565108,5.69143649613887e-06,0.000593134189643256,0.468118189460869,0.468886033653984,0.469281004396992,0.469675208396837,0.470403718758198,10860.8077979097,0.999747995351275,0.469382191708196
"b[13]",18,1,0,0.702745859023917,7.3975169800496e-06,0.000663532859267484,0.70147173494946,0.702295282813999,0.702746310266447,0.703179390822261,0.704062756846859,8045.49794149342,0.999628166920406,0.702910119424512
"b[14]",19,1,0,0.631248379800239,7.51689768008672e-06,0.000691551234330672,0.629878118786036,0.630789966034457,0.631256476146633,0.631685637123298,0.632647754816709,8463.91794351931,0.9993427872934,0.630666096996899
"b[15]",20,1,0,0.545019994214194,5.38596651625662e-06,0.000530142214751351,0.543983968860181,0.544668192517608,0.545016846855744,0.545373086603987,0.546044634805493,9688.52084274119,0.999236355241771,0.544792902254185
"b[16]",21,1,0,0.512237485885932,3.07296995630928e-05,0.00243441514236148,0.507532033196637,0.510579237209006,0.512221595639062,0.513928974751278,0.516946345942517,6275.85141581103,1.00060765043193,0.517814728153437
"b[17]",22,1,0,0.442503592140873,9.36214508205525e-06,0.000857442038554056,0.440847518398276,0.441898239533598,0.442502986090469,0.443089415739586,0.444175880759911,8388.00750819615,0.99931830380216,0.443903940968649
"b[18]",23,1,0,0.478393103656538,1.17418585618576e-05,0.00104646939433652,0.476429038786365,0.47768912641037,0.478372440135672,0.479095769097354,0.480489235370679,7942.90508688878,0.99951634856582,0.478117787071968
"b[19]",24,1,0,0.732940742903856,7.4808384682466e-06,0.000698205805204092,0.731621059447288,0.732480439156012,0.73292457942447,0.733400220547375,0.734315457488043,8710.9667565568,0.999602589911587,0.732444923219157
"b[20]",25,1,0,0.622348826363692,1.05123536011935e-05,0.000954302287110038,0.620481566761326,0.621699717125406,0.622338214794879,0.623006831838062,0.624229347277046,8240.84997622808,1.00001826852858,0.622376675295684
"b[21]",26,1,0,0.535957662061641,5.9374043798185e-06,0.000500821999856473,0.534944393484968,0.535636365682156,0.535962643809026,0.53627651432222,0.536937309599823,7114.97763339867,0.999503749688216,0.536354152880166
"b[22]",27,1,0,0.639621197916668,1.18697873214357e-05,0.00100454009355618,0.637652586683769,0.638958155360284,0.639620937379656,0.640294786150944,0.641596276614758,7162.23679366617,0.999406315631862,0.642687634475415
"b[23]",28,1,0,0.552749326419707,7.69602505918593e-06,0.000674545440397031,0.551422469215094,0.552297633012055,0.552744194271879,0.553216684028151,0.554045901449252,7682.26838989337,0.999646379998963,0.552513514370122
