"","m","lam","phylosig","bz50","bz2.5","bz97.5","lam_interceptsb50","lam_interceptsb2.5","lam_interceptsb97.5","slopelm","Rhat"
"1",0.1,0.1,0.191009536421059,0.142180739509255,-0.0236824169438546,0.319525765744292,0.296284786215531,0.607067325087655,0.061990831509651,1.00030723922308,1.01603140697457
"2",0.1,0.5,0.386606116234044,0.0298918430146002,-0.154707470209036,0.208955317391449,0.425935968167307,0.703256118924712,0.212095682791161,0.999874712974831,1.01967236829622
"3",0.1,0.9,0.944664434299556,0.213570231740789,-0.0322430529454724,0.475795323798711,0.936989658008388,0.980696381446137,0.8449732119875,0.999986741835441,1.01669559678605
"4",0.5,0.1,0.0418693336864004,0.52037266157022,0.400368638974072,0.622453033391011,0.110636658176729,0.373482629862117,0.0103758042027352,0.999915257813736,1.01027179073654
"5",0.5,0.5,0.296811897518962,0.36734936351267,0.212122234779218,0.508015573176053,0.376940966015585,0.668219981456449,0.0755917351616082,1.00005804949066,1.01857866180583
"6",0.5,0.9,0.928456123649643,0.358739418263439,0.131661540948766,0.610195712602638,0.916959717578859,0.969106424448509,0.785362781566467,0.999839650514227,1.01434223323927
"7",1,0.1,6.62812304970908e-05,1.01164416633452,0.869982197056064,1.11016961609992,0.0674113782230672,0.306894849996903,0.00368281335878647,1.00001797232839,1.01377680026636
"8",1,0.5,0.581253898534499,0.991893077040797,0.741053440127134,1.20855854588561,0.593688260843255,0.818380397067906,0.252173720083118,0.99996357222648,1.02758558445541
"9",1,0.9,0.875122896575001,0.856675280579756,0.61740803768126,1.06907953421556,0.865217493779934,0.948675550888131,0.714029323411044,1.00002024326474,1.0217717329346
"10",5,0.1,0.181768536002631,4.67285479304709,3.96696947800686,4.9316664722633,0.502559281288362,0.828671230917169,0.172027675143955,1.00009412461069,1.04940368321227
"11",5,0.5,0.515078019507031,4.83456543841544,4.55603415498978,5.04144432910846,0.600404675725051,0.796469332135506,0.361296799065014,0.999952746436571,1.01649853143503
"12",5,0.9,0.796045604244805,4.94102220925938,4.73933595925136,5.11793768033009,0.802822420050504,0.904938825745305,0.622098470665395,1.00007439819259,1.01288623510473
