query,species.name,db,sp,genus,family,order,class,phylum,kingdom
Cryptomonas,Cryptomonas,ncbi,NA,Cryptomonas,Cryptomonadaceae,Cryptomonadales,Cryptophyceae,Ochrophyta,Chromista
Ceratium,Ceratium,ncbi,NA,Ceratium,Ceratiaceae,Gonyaulacales,Dinophyceae,Dinoflagellata ,Chromista
Gymnodinium,Gymnodinium,ncbi,NA,Gymnodinium,Gymnodiniaceae,Gymnodiniales,Dinophyceae,Dinoflagellata ,Chromista
Peridinium,Peridinium,ncbi,NA,Peridinium,Peridiniaceae,Peridiniales,Dinophyceae,Myzoza,Chromista
Synura,Synura,ncbi,NA,Synura,Synuraceae,Ochromonadales,Chrysophyceae,Ochrophyta,Chromista
Amanita muscaria,Amanita muscaria,ncbi,Amanita muscaria,Amanita,Amanitaceae,Agaricales,Agaricomycetes,Basidiomycota,Fungi
Rabidosa rabida,Aranea,ncbi,Rabidosa rabida,Rabidosa,Lycosidae,Araneae,Arachnida,Arthropoda,Metazoa
Bosmina,Bosmina,ncbi,NA,Bosmina,Bosminidae,Diplostraca,Branchiopoda,Arthropoda,Metazoa
Daphnia,Daphnia,ncbi,NA,Daphnia,Daphniidae,Diplostraca,Branchiopoda,Arthropoda,Metazoa
Daphnia galeata,Daphnia hyalina-galeata,ncbi,Daphnia galeata,Daphnia,Daphniidae,Diplostraca,Branchiopoda,Arthropoda,Metazoa
Daphnia pulicaria,Daphnia pulicaria,ncbi,Daphnia pulicaria,Daphnia,Daphniidae,Diplostraca,Branchiopoda,Arthropoda,Metazoa
Acartia hudsonica,Acartia hudsonica,ncbi,Acartia hudsonica,Acartia,Acartiidae,Calanoida,Hexanauplia,Arthropoda,Metazoa
Acartia tonsa,Acartia tonsa,ncbi,Acartia tonsa,Acartia,Acartiidae,Calanoida,Hexanauplia,Arthropoda,Metazoa
Calanus finmarchicus,Calanus finmarchicus,ncbi,Calanus finmarchicus,Calanus,Calanidae,Calanoida,Hexanauplia,Arthropoda,Metazoa
Calanus helgolandicus,Calanus helgolandicus,ncbi,Calanus helgolandicus,Calanus,Calanidae,Calanoida,Hexanauplia,Arthropoda,Metazoa
Neocalanus plumchrus,Neocalanus plumchrus,ncbi,Neocalanus plumchrus,Neocalanus,Calanidae,Calanoida,Hexanauplia,Arthropoda,Metazoa
